,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,th_ts_2_rel,th_d_ts_2_rel
1316,13.15,0.0,0.0,0.0,0.0,-0.14772650655244038,0.039863877183098625,0.21395846204258248,1.019082031565321,-1.6357171521421767,-1.7356968303971747,-0.09997967825499798,0.187590383735539
1317,13.16,0.0,0.0,0.0,0.0,-0.14552392749998203,0.04992805769982759,0.2265588249581025,0.9936102112931259,-1.6371835093053169,-1.7352476584892498,-0.09806414918393291,0.1954519851998096
1318,13.17,0.0,0.0,0.0,0.0,-0.14319532382700798,0.059733280504673074,0.23916104052742207,0.967298207715797,-1.6386272105701414,-1.7346991325639323,-0.09607192199379089,0.20292860433168106
1319,13.18,0.0,0.0,0.0,0.0,-0.1407407477111436,0.06927137715706967,0.25175093582099123,0.940192877110332,-1.6400469958332384,-1.7340538834309638,-0.09400688759772535,0.21001212486821325
1320,13.19,0.0,0.0,0.0,0.0,-0.13816039400240232,0.07853465300633224,0.2643141513277651,0.9123421103576876,-1.6414416062247799,-1.7333146212241626,-0.09187301499938272,0.21669504700873454
1321,13.200000000000001,0.0,0.0,0.0,0.0,-0.13545460202555265,0.08751589720627269,0.27683615387786736,0.8837947659769657,-1.6428097855443649,-1.7324841306128933,-0.08967434506852845,0.22297049923182533
1322,13.21,0.0,0.0,0.0,0.0,-0.13262385724621858,0.09620839203983048,0.289302250977885,0.8546005991078198,-1.6441502817142164,-1.7315652659168084,-0.08741498420259197,0.22883224928604906
1323,13.22,0.0,0.0,0.0,0.0,-0.12966879278648388,0.10460592151366786,0.30169760657509337,0.8248101865378566,-1.6454618482483008,-1.7305609461309575,-0.08509909788265668,0.23427471430015173
1324,13.23,0.0,0.0,0.0,0.0,-0.12659019077571532,0.1127027791838288,0.3140072582485011,0.7944748479189911,-1.6467432457357885,-1.7294741498687665,-0.08273090413297801,0.23929296995954413
1325,13.24,0.0,0.0,0.0,0.0,-0.12338898352241603,0.12049377517528541,0.32621613580637915,0.7636465633624173,-1.6479932433371414,-1.728307910230759,-0.08031466689361766,0.24388275869770143
1326,13.25,0.0,0.0,0.0,0.0,-0.12006625449322464,0.12797424236028349,0.33830908125181064,0.7323778876463409,-1.649210620290966,-1.7270653096072608,-0.0778546893162948,0.24804049685350812
1327,13.26,0.0,0.0,0.0,0.0,-0.11662323908564484,0.13514004166296276,0.3502708700602464,0.7007218613125951,-1.6503941674296347,-1.725749474423663,-0.07535530699402826,0.2517632807486076
1328,13.27,0.0,0.0,0.0,0.0,-0.11306132518173612,0.14198756646068547,0.3620862336962723,0.6687319189672754,-1.6515426887015519,-1.7243635698371322,-0.07282088113558038,0.2550488916424216
