,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,ref_th_d_1,ref_th_d_2,ref_th_1,ref_th_2,th_ts_2_rel,th_d_ts_2_rel
883,8.82,-86.35298560001425,-5.255759574267049,122.91065147672737,-21.019357968999255,1.6494495855461497,2.6765831088352487,-3.4050574960579785,-2.8152372764829474,0.2866869205765474,-2.093379464137428,1.577276650708965,2.6139112623355287,12.813489688877572,10.43032036995959,-2.3800663847139756,1.027133523289099
884,8.83,-86.50309370444265,-5.112598713134275,121.90810788822404,-20.223536091353907,1.615458456750583,2.6472447315243213,-3.3933418933727055,-2.8253027665155153,0.3030113566393377,-2.066758354253665,1.5550422881462316,2.5959374418274246,12.829151232576507,10.456369778381564,-2.369769710893003,1.0317862747737383
885,8.84,-86.42402477626597,-4.981756434792639,121.0967864997804,-19.434411954186793,1.5815931566833554,2.6178158613409854,-3.3744636243657693,-2.828591694057912,0.31899649623999643,-2.0404310977718514,1.5328796441831265,2.577778353053579,12.844590773836048,10.482238501396163,-2.359427594011848,1.03622270465763
886,8.85,-86.12244317237825,-4.8633983902035105,120.47232245632692,-18.65284394939724,1.5479247247820913,2.588365738770839,-3.348745326995836,-2.825442367369245,0.33464395384548545,-2.0143982558394993,1.510809011272436,2.559458311719924,12.859809132293952,10.507924809090929,-2.349042209684985,1.0404410139887479
887,8.86,-85.60580301137131,-4.7575647334360704,120.02950033780994,-17.87954763192118,1.5145209809588442,2.5589600582412966,-3.316526320221856,-2.816201497207571,0.34995603820700033,-1.988659714658953,1.4888495096510224,2.5410002223395867,12.874807324625879,10.533427207622902,-2.3386157528659535,1.0444390772824523
888,8.870000000000001,-84.88228569718564,-4.664176471707782,119.76231394675105,-17.11510132622589,1.4814463616327738,2.5296608850254,-3.2781602832706933,-2.801222288787497,0.3649357193401878,-1.9632147213652869,1.467019119047227,2.5224256172168777,12.889586552980045,10.558744425299865,-2.3281504407054747,1.048214523392626
889,8.88,-83.96073585619115,-4.583043041207069,119.66402814222315,-16.359953084119223,1.4487617787880487,2.500526592967859,-3.234012986338308,-2.7808626768285762,0.379586593981116,-1.9380619206339529,1.4453347122589304,2.503754697276391,12.90414819373865,10.583875399061094,-2.317648514615069,1.0517648141798104
890,8.89,-82.85059609223711,-4.513870953570875,119.72724228617457,-15.614428830697861,1.4165245015313448,2.4716118214433282,-3.1844600793716213,-2.755483699209657,0.3939128497456745,-1.9131993918175465,1.423812090248137,2.4850063743410407,12.91849378662289,10.608819261373837,-2.307112241563221,1.0550873199119835
891,8.9,-81.56184095014845,-4.456273346555761,119.94395488203295,-14.878741523900509,1.3847880595587385,2.4429674499897915,-3.1298849444962324,-2.72544800249703,0.4079192282144155,-1.8886246864269869,1.4024660184254778,2.4661983144983552,12.932625024155177,10.633575327558406,-2.2965439146414024,1.058179390431053
892,8.91,-80.10491046431412,-4.409780266166452,120.30562899958534,-14.153001146928045,1.3536021678876249,2.414640589118528,-3.07067661683556,-2.6911184714402965,0.4216109871587625,-1.864334865787463,1.3813102638256776,2.4473469822291323,12.946543741488876,10.65814308355094,-2.2859458529462255,1.0610384212309032
